,continent,country,population,cases,deaths,tests,day,time
0,Asia,China,1439323776.0,"{'new': '+10', 'active': 286, 'critical': 4, 'recovered': 85488, '1M_pop': '63', 'total': 90410}","{'new': None, '1M_pop': '3', 'total': 4636}","{'1M_pop': '111163', 'total': 160000000}",2021-04-11,2021-04-11T15:15:30+00:00
1,Oceania,Micronesia,115715.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 1, '1M_pop': '9', 'total': 1}","{'new': None, '1M_pop': None, 'total': None}","{'1M_pop': None, 'total': None}",2021-04-11,2021-04-11T15:15:30+00:00
2,Oceania,Vanuatu,311994.0,"{'new': '+2', 'active': 2, 'critical': None, 'recovered': 1, '1M_pop': '10', 'total': 3}","{'new': None, '1M_pop': None, 'total': None}","{'1M_pop': '1506', 'total': 470}",2021-04-11,2021-04-11T15:15:30+00:00
3,North-America,Anguilla,15103.0,"{'new': None, 'active': 3, 'critical': None, 'recovered': 22, '1M_pop': '1655', 'total': 25}","{'new': None, '1M_pop': None, 'total': None}","{'1M_pop': '965305', 'total': 14579}",2021-04-11,2021-04-11T15:15:29+00:00
4,North-America,Greenland,56842.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 31, '1M_pop': '545', 'total': 31}","{'new': None, '1M_pop': None, 'total': None}","{'1M_pop': '363622', 'total': 20669}",2021-04-11,2021-04-11T15:15:29+00:00
5,North-America,Montserrat,4994.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 19, '1M_pop': '4005', 'total': 20}","{'new': None, '1M_pop': '200', 'total': 1}","{'1M_pop': '262915', 'total': 1313}",2021-04-11,2021-04-11T15:15:29+00:00
6,North-America,Saint-Kitts-and-Nevis,53480.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 44, '1M_pop': '823', 'total': 44}","{'new': None, '1M_pop': None, 'total': None}","{'1M_pop': '231507', 'total': 12381}",2021-04-11,2021-04-11T15:15:29+00:00
7,Oceania,Solomon-Islands,699272.0,"{'new': '+1', 'active': 1, 'critical': None, 'recovered': 18, '1M_pop': '27', 'total': 19}","{'new': None, '1M_pop': None, 'total': None}","{'1M_pop': '6435', 'total': 4500}",2021-04-11,2021-04-11T15:15:29+00:00
8,Asia,Macao,656120.0,"{'new': '+1', 'active': 1, 'critical': None, 'recovered': 48, '1M_pop': '75', 'total': 49}","{'new': None, '1M_pop': None, 'total': None}","{'1M_pop': '6734', 'total': 4418}",2021-04-11,2021-04-11T15:15:29+00:00
9,Europe,Vatican-City,803.0,"{'new': None, 'active': 12, 'critical': None, 'recovered': 15, '1M_pop': '33624', 'total': 27}","{'new': None, '1M_pop': None, 'total': None}","{'1M_pop': None, 'total': None}",2021-04-11,2021-04-11T15:15:29+00:00
